"Save Currency Rates","Sauvegarder les taux de devises"
Reset,Réinitialiser
Import,Importer
"Manage Currency Rates","Gestion des taux des devises"
"Import Service","Service d'importation"
"Save Currency Symbols","Enregistrer les symboles de devise"
"Currency Symbols","Symboles de devise"
"Use Standard","Utiliser le standard"
"Please specify a correct Import Service.","Merci de renseigner un service d'importation valide."
"We can't initialize the import model.","Impossible d'initialiser le modèle d'importation."
"Click ""Save"" to apply the rates we found.","Cliquez sur ""Enregistrer"" pour appliquer les taux trouvés."
"Currency Rates","Taux de change"
"Please correct the input data for %1 => %2 rate","Merci de corriger les données renseignées pour %1 => taux %2"
"All valid rates have been saved.","Tous les taux valides ont été sauvegardés."
System,Système
"You applied the custom currency symbols.","Vous avez appliqué les symboles de devise personnalisés."
"Old rate:","Ancien taux :"
